,"Relative, BHC","Absolute, BHC","Relative, AHC","Absolute, AHC"
2002/03,17.8,20.8,22.1,24.4
2003/04,17.6,19.9,21.3,22.9
2004/05,16.9,18.6,20.4,21.5
2005/06,17.4,18.7,21.4,22.1
2006/07,17.9,18.3,22.4,22.2
2007/08,18.2,18.1,22.5,22
2008/09,17.9,17.4,22.2,21.9
2009/10,16.9,16.2,22.2,21.3
2010/11,16,16,21.1,21.1
2011/12,15.7,16.9,20.9,21.7
2012/13,15.4,16.2,21,22.1
2013/14,15.2,15.6,21,21.5
2014/15,15.9,14.8,21.1,20.2
2015/16,16.4,14.6,21.8,19.9
2016/17,16.2,13.8,22.1,19.2
2017/18,17.1,14.6,21.6,19.2
2018/19,16.7,14.8,21.9,19.6
2019/20,17.9,14,22,17.9
